EEMMM,FECHA_DEF_CT,INTUBADO_CT,NEUMONIA_CT,EMBARAZO_CT,HABLA_LENGUA_INDIG_CT,DIABETES_CT,EPOC_CT,ASMA_CT,INMUSUPR_CT,HIPERTENSION_CT,OTRA_COM_CT,CARDIOVASCULAR_CT,OBESIDAD_CT,RENAL_CRONICA_CT,TABAQUISMO_CT,OTRO_CASO_CT,RESULTADO_POS,RESULTADO_NEG,RESULTADO_PDT,MUJERES_CT,HOMBRES_CT,LONGITUD,LATITUD,NOM_ENT,NOM_MUN
01001,2,4,41,7,1,51,6,45,14,100,82,18,108,14,95,265,69,673,45,36,33,-102.2958029023545,21.81143623260154,Aguascalientes,Aguascalientes
01002,0,0,0,0,0,3,1,1,0,2,0,0,1,0,1,5,1,7,2,0,1,-102.0456380733432,22.12650816018908,Aguascalientes,Asientos
01003,0,0,3,0,3,3,2,0,0,6,1,2,5,1,6,8,0,28,0,0,0,-102.7049039395209,21.90069448763411,Aguascalientes,Calvillo
01004,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,7,0,0,0,-102.2970416607016,22.36062673896736,Aguascalientes,Cosío
01005,0,1,3,2,0,5,3,6,3,10,7,1,6,2,4,15,2,52,6,0,2,-102.4456492622486,21.93211750620302,Aguascalientes,Jesús María
01006,0,0,1,0,0,1,0,2,0,3,2,1,3,0,4,13,5,23,0,2,3,-102.3016772243551,22.10454236437223,Aguascalientes,Pabellón de Arteaga
01007,0,1,4,0,2,3,1,0,0,7,0,0,5,0,4,14,2,26,3,1,1,-102.3407287274216,22.26740774862223,Aguascalientes,Rincón de Romos
01008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,-102.5258387192294,22.14663460700684,Aguascalientes,San José de Gracia
01009,0,0,2,0,0,1,0,0,0,3,0,0,2,2,1,0,1,8,0,1,0,-102.1921306073213,22.23697375178681,Aguascalientes,Tepezalá
01010,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,0,1,-102.0353985228648,21.92151943268495,Aguascalientes,El Llano
01011,0,0,0,0,0,2,0,3,1,2,3,0,5,0,1,4,0,17,0,0,0,-102.2290213836018,22.0330705109468,Aguascalientes,San Francisco de los Romo
02000,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,3,2,0,1,2,,,,
02001,2,3,23,5,7,23,3,20,2,37,19,7,31,1,27,29,12,142,25,6,6,-114.9572143012188,30.03650954920085,Baja California,Ensenada
02002,22,13,170,11,3,128,15,67,18,225,42,36,171,18,78,249,241,310,271,113,128,-115.166228994233,31.7417443097908,Baja California,Mexicali
02003,2,3,19,1,2,13,7,5,7,23,0,4,12,3,5,7,13,28,28,6,7,-116.2905640746028,32.43546819036516,Baja California,Tecate
02004,45,36,307,16,9,164,24,53,26,252,57,26,209,20,101,203,401,390,390,180,221,-116.8474320421639,32.41283998836974,Baja California,Tijuana
